Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
40.9502159,-4.1241494,"Segovia, Spain",Segovia,", ",Spain,1,0,0
41.9793006,2.8199439,"Girona, Spain",Girona,", ",Spain,4,0,0
39.6134018,2.8804305,"Balearic Islands, Spain",Balearic Islands,", ",Spain,2,0,0
41.6510646,2.5036829,"Spain, City NA",Spain,", ",City NA,20,1,0
39.6819591,-0.7654406,"Valencian Community, Spain",Valencian Community,", ",Spain,18,0,1
60,100,"Siberia, Russia",Siberia,", ",Russia,3,0,2
59.3251172,18.0710935,"Stockholm, Sweden",Stockholm,", ",Sweden,15,0,1
55.8469409,13.6358312,"Skane County, Sweden",Skane County,", ",Sweden,1,0,0
59.8586126,17.6387436,"Uppsala, Sweden",Uppsala,", ",Sweden,2,0,0
58.203027,12.64973,"Västra Götaland, Sweden",Västra Götaland,", ",Sweden,9,0,0
57.7825634,14.165719,"Jönköping, Sweden",Jönköping,", ",Sweden,3,0,0
50.8436709,4.3674367,"Brussels, Belgium",Brussels,", ",Belgium,14,0,1
50.8084317,4.9464292,"Tienen, Belgium",Tienen,", ",Belgium,1,0,0
26.0444,31.2357,"Egypt, City NA",Egypt,", ",City NA,2,0,1
34.6423117,50.8800969,"Qom, Iran",Qom,", ",Iran,5,2,0
35.7181361,51.499017,"Islamic Republic of Iran, City NA",Islamic Republic of Iran,", ",City NA,2331,77,435
31.0461,34.8516,"Israel, City NA",Israel,", ",City NA,12,0,1
33.8959203,35.47843,"Beirut, Lebanon",Beirut,", ",Lebanon,13,0,0
26.0667,50.5577,"Bahrain, City NA",Bahrain,", ",City NA,49,0,0
29.3117,47.4818,"Kuwait , City NA",Kuwait ,", ",City NA,56,0,0
34.5260131,69.1776476,"Kabul, Afghanistan",Kabul,", ",Afghanistan,1,0,0
32.0010227,44.3299926,"Najaf, Iraq",Najaf,", ",Iraq,4,0,0
35.4701099,44.3964846,"Kirkuk, Iraq",Kirkuk,", ",Iraq,4,0,0
33,44,"Babylon Province, Iraq",Babylon Province,", ",Iraq,1,0,0
31.8526254,47.1444373,"Maysan Governorate, Iraq",Maysan Governorate,", ",Iraq,1,0,0
35.5570501,45.4425963,"Sulaymaniyah, Iraq",Sulaymaniyah,", ",Iraq,5,0,0
33.3024309,44.3787992,"Baghdad, Iraq",Baghdad,", ",Iraq,12,0,0
50.7763045,6.0939309,"Iraq, City NA",Iraq,", ",City NA,4,0,0
23.5983511,58.2730505,"Oman, City NA",Oman,", ",City NA,12,0,2
45.1398135,13.6005126,"Croatia, City NA",Croatia,", ",City NA,9,0,0
48.2083537,16.3725042,"Vienna , Austria",Vienna ,", ",Austria,14,0,0
48.2817813,15.7632457,"Lower Austria, Austria",Lower Austria,", ",Austria,3,0,0
47.2500001,15.1666665,"Styria, Austria",Styria,", ",Austria,3,0,0
47.223193,11.5261028,"Tyrol, Austria",Tyrol,", ",Austria,2,0,0
47.7981346,13.0464806,"Salzburg , Austria",Salzburg ,", ",Austria,2,0,0
46.2017559,6.1466014,"Geneva, Switzerland",Geneva,", ",Switzerland,7,0,0
46.3356506,8.753706,"Ticino, Switzerland",Ticino,", ",Switzerland,5,0,0
47.3723941,8.5423328,"Zurich, Switzerland",Zurich,", ",Switzerland,13,0,2
46.6356963,6.5320717,"Vaud, Switzerland",Vaud,", ",Switzerland,2,0,0
46.9895828,6.9292641,"Neuchatel, Switzerland",Neuchatel,", ",Switzerland,1,0,0
46.9482713,7.4514512,"Bern, Switzerland",Bern,", ",Switzerland,3,0,0
46.6789116,7.1027113,"Fribourg, Switzerland",Fribourg,", ",Switzerland,2,0,0
47.5092938,7.6588333,"Basel-Landschaft, Switzerland",Basel-Landschaft,", ",Switzerland,3,0,0
47.0571976,8.7222073,"Schwyz, Switzerland",Schwyz,", ",Switzerland,1,0,0
47.1486137,8.5539378,"Zug, Switzerland",Zug,", ",Switzerland,1,0,0
46.2303063,7.6605757,"Valais, Switzerland",Valais,", ",Switzerland,2,0,0
47.412396,8.1948321,"Aargau, Switzerland",Aargau,", ",Switzerland,6,0,0
46.6960615,9.6027351,"Graubunden, Switzerland",Graubunden,", ",Switzerland,9,0,0
47.5581077,7.5878261,"Basel, Switzerland",Basel,", ",Switzerland,3,0,0
28.0339,1.6596,"Algeria, City NA",Algeria,", ",City NA,5,0,0
39.0742,21.8243,"Athens, Greece",Athens,", ",Greece,7,0,0
-23.5506507,-46.6333824,"Sao Paolo, Brazil",Sao Paolo,", ",Brazil,2,0,0
42.3154,43.3569,"Georgia, City NA",Georgia,", ",City NA,3,0,0
58.7194423,8.0349635,"Agder, Norway",Agder,", ",Norway,3,0,0
59.9133301,10.7389701,"Oslo, Norway",Oslo,", ",Norway,7,0,0
58.9363137,5.8058786,"Rogaland, Norway",Rogaland,", ",Norway,1,0,0
69.8699347,21.8272785,"Troms og Finnmark, Norway",Troms og Finnmark,", ",Norway,2,0,0
60.9291011,6.1078869,"Vestland, Norway",Vestland,", ",Norway,12,0,0
59.9263265,9.9042345,"Viken, Norway",Viken,", ",Norway,8,0,0
56.2639,9.5018,"Denmark, City NA",Denmark,", ",City NA,10,0,0
47.672161,24.1954737,"Maramures County, Romania",Maramures County,", ",Romania,1,0,0
45.6890988,21.6304672,"Timis County, Romania",Timis County,", ",Romania,1,0,0
